episode,reward
47709405,0.82
47719897,0.955
47730393,0.91
47740858,0.895
47751338,0.925
47761836,0.88
47772368,0.94
47782851,0.865
47793334,0.835
47804031,2.515
47814777,1.48
47825513,1.035
47836262,1.54
47847086,2.05
47857786,1.525
47868540,1.095
47879239,1.52
47889990,2.035
47900752,-0.47
47911520,0.54
47922258,1.07
47933014,0.525
47943809,2.05
47954544,2.075
47965269,0.57
47976005,1.09
47986795,0.075
47997644,1.02
48008365,0.54
48019069,0.92
48029852,0.6
48040664,-0.025
48051480,0.56
48062219,1.515
48072973,1.015
48083687,1.565
48094471,2.02
48105212,2.125
48115931,0.055
48126719,0.99
